NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,6,1,1,1,1,6,1,6,1,1,1,6,1,1,6,1,1,6,6,1,1,1,1,6,1,6,1,6,6,6,1,1,1,6,6,6,6,6,1,6,1,6,6,6,6,1,6,1,6,6,6,6,1,0,1,1,1,1,6,6,1,6,1,6,1,1,6,0,6,6,1,0,1,6,1,1,6,1,6,6,6,1,0,1,1,6,1,1,6,1,6,6,6,6,0,6,6,1,6,1,6,1,6,6,1,1,1,1,6,6,6,6,1,1,6,6,6,0,0,1,1,6,1,1,1,1,6,1,0,6,1,6,6,1,6,1,6,1,6,6,1,1,1,1,1,0,0,6,1,1,6,1,6,1,6,6,6,6,6,1,1,6,1,1,6,1,1,6,1,1,1,1,1,6,6,6,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,1,1,6,6,1,1,1,6,1,6,1,6,6,1,6,1,1,6,1,1,6,6,6,6,1,1,1,1,6,1,6,6,6,0,0,1,6,6,6,1,1,1,6,1,1,0,6,0,6,6,6,6,1,1,6,1,1,1,6,1,0,1,6,1,1,1,1,1,1,1,1,1,6,0,1,6,6,1,1,1,6,1,6,1,1,6,6,6,6,6,6,1,6,1,1,1,1,1,1,6,1,6,0,1,1,0,0,0,6,1,0,6,1,6,1,1,6,1,6,6,1,6,1,6,6,6,6,1,6,6,6,1,1,1,6,6,6,6,1,1,0,6,1,1,6,1,6,1,1,6,1,0,6,6,6,6,0,6,6,6,0,6,0,6,6,1,1,1,1,1,
MA,1,1,1,1,1,6,1,1,0,6,6,1,6,6,1,1,1,1,6,6,1,1,1,1,0,6,0,1,6,6,6,1,1,1,1,6,1,1,1,6,1,1,1,6,1,1,6,1,6,1,1,0,1,6,1,6,1,0,0,1,6,1,1,1,6,1,1,6,6,1,6,1,1,6,1,1,0,6,1,1,6,0,0,6,6,6,1,6,1,6,6,6,1,6,1,1,1,6,1,6,6,1,1,1,6,1,6,6,1,6,1,1,6,6,1,6,0,0,1,0,1,1,1,6,6,6,6,6,1,6,1,6,1,1,6,6,1,1,1,1,6,6,6,1,6,6,0,6,1,1,1,1,1,1,6,0,6,6,1,6,1,1,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,0,1,6,0,1,1,6,6,6,1,1,6,1,0,1,1,6,1,1,6,6,6,1,6,1,1,1,1,6,1,6,1,1,1,6,1,6,6,1,1,6,1,0,0,1,1,1,1,6,1,6,6,6,1,1,1,1,6,6,6,6,1,6,1,6,6,6,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,1,1,6,1,6,1,1,1,1,1,1,1,6,6,6,6,6,1,1,1,1,1,6,6,6,1,6,6,6,1,0,6,6,1,1,1,6,1,6,1,1,6,6,0,0,0,6,1,1,1,6,1,6,6,1,1,1,6,1,6,1,1,1,6,0,6,1,1,0,1,1,1,1,1,6,6,1,6,1,1,6,6,6,1,6,1,6,1,6,1,6,6,0,6,6,1,1,6,1,1,6,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,1,0,1,6,1,6,6,1,6,6,1,1,1,6,1,1,1,6,1,6,1,6,6,6,6,1,1,6,1,6,6,6,6,6,1,1,6,1,6,1,1,1,0,1,1,1,6,6,6,1,1,1,6,1,1,6,6,6,6,6,6,6,1,6,6,1,1,1,6,1,6,1,1,1,0,1,1,1,6,1,1,1,1,6,1,6,6,1,1,1,6,1,6,1,1,6,6,1,6,6,1,1,6,1,1,1,1,1,1,1,6,6,1,6,1,1,6,6,6,1,6,0,0,0,0,1,1,1,6,6,1,6,1,6,6,6,6,1,6,1,6,6,1,6,6,6,6,6,1,0,1,6,6,6,6,1,6,1,1,6,6,6,6,6,6,1,1,6,6,6,6,6,6,6,6,1,1,1,1,1,
CT,1,6,1,1,0,6,6,0,6,6,6,1,1,6,6,1,1,6,6,6,6,6,6,1,1,1,1,6,1,1,6,1,1,6,6,6,1,1,1,1,6,6,1,1,6,6,6,1,6,6,6,1,6,6,1,1,6,6,1,6,6,1,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,6,6,1,1,1,6,6,6,1,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,6,1,1,6,1,6,1,1,1,1,6,6,1,6,1,1,1,1,1,1,1,6,6,6,6,6,1,6,1,6,6,1,6,1,6,1,6,1,6,1,1,6,6,6,1,1,6,6,1,1,1,1,6,1,1,6,6,1,6,1,6,1,6,6,1,1,6,6,1,1,1,1,6,6,1,1,6,1,1,1,1,6,6,1,6,6,1,1,1,6,1,1,1,1,6,1,1,6,1,6,1,1,6,1,1,1,6,6,1,6,1,1,6,1,6,1,1,6,1,1,6,6,1,1,6,6,1,6,1,6,6,6,1,1,6,6,6,6,6,6,1,1,6,6,6,6,6,1,6,1,6,6,6,6,1,6,6,6,6,6,6,1,6,1,1,6,1,1,6,6,6,1,1,1,1,6,1,1,1,6,1,1,1,6,1,6,6,6,6,1,1,6,6,6,1,6,0,6,1,1,6,1,6,6,6,6,6,1,1,6,6,1,6,1,1,6,6,6,6,6,1,1,6,1,6,1,1,1,6,1,6,6,6,1,1,6,6,6,6,1,6,1,6,6,1,1,6,6,6,1,6,1,6,6,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,1,6,6,1,1,1,1,6,1,1,6,6,6,6,1,1,1,1,6,1,1,6,6,1,1,1,6,1,6,1,6,6,1,6,1,0,6,1,0,1,1,6,1,1,1,1,6,6,1,6,1,1,6,1,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,1,6,6,1,1,1,6,1,6,1,6,1,6,1,1,1,1,1,1,1,1,6,1,6,6,1,1,1,6,1,6,1,1,0,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,6,1,6,1,6,6,6,6,1,6,6,1,6,1,6,6,1,1,1,1,6,0,6,6,6,6,1,6,1,6,6,1,6,0,6,0,1,1,1,6,6,6,1,1,1,1,6,6,6,6,6,1,1,1,1,1,
NY,6,0,1,1,1,6,6,1,1,1,0,1,6,6,1,1,6,1,6,6,1,1,1,1,6,1,0,0,6,1,6,1,1,6,1,6,6,1,1,1,6,1,6,6,6,6,1,1,1,6,6,1,1,6,6,6,1,0,6,1,1,1,0,1,1,6,6,1,1,6,6,1,6,0,0,1,6,0,0,6,1,6,1,1,1,6,1,1,1,6,6,6,6,6,6,6,1,1,6,6,1,1,6,1,1,6,1,1,1,1,1,1,1,6,6,1,0,0,6,1,6,6,6,6,6,6,6,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NJ,0,0,0,0,6,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,6,6,1,6,6,1,1,1,1,1,6,1,6,1,1,6,1,6,1,6,1,0,1,1,6,6,1,1,6,1,6,0,1,6,1,1,1,1,1,1,1,1,6,6,6,1,1,1,6,1,6,6,6,6,6,1,1,6,6,6,1,6,1,1,6,1,1,1,1,6,1,0,0,6,1,1,1,1,1,1,6,1,6,6,6,6,6,1,6,1,6,6,1,6,6,1,1,6,1,6,1,1,6,6,1,6,1,6,6,1,1,6,6,6,1,6,1,1,6,1,1,6,1,6,6,1,1,1,6,0,0,0,0,0,0,0,0,0,0,1,1,1,6,1,1,6,1,1,6,6,6,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1,6,1,1,1,1,1,1,1,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,1,1,6,6,1,1,6,6,1,6,1,1,1,1,1,1,6,6,1,6,1,1,6,6,6,6,1,1,1,1,1,6,6,6,6,1,6,1,6,6,6,6,6,1,6,6,6,6,6,6,0,6,1,1,6,6,1,6,0,0,0,0,0,0,0,0,0,6,1,6,6,6,1,1,1,6,6,1,1,1,1,1,6,6,1,1,1,6,1,6,6,6,1,1,1,6,1,6,1,1,6,1,6,1,6,1,6,6,1,6,1,1,1,6,1,1,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,6,1,1,1,1,1,1,6,1,1,6,1,6,1,6,1,6,1,1,1,1,1,6,1,1,1,1,6,6,6,6,1,1,1,6,6,1,1,6,1,1,0,1,1,6,6,6,6,6,0,6,6,1,6,6,6,6,6,6,6,1,6,6,1,1,1,6,1,1,1,6,1,6,1,1,1,6,6,6,1,6,1,6,6,6,1,1,1,6,6,6,1,6,6,6,6,6,6,1,6,6,1,1,1,1,1,1,6,1,6,6,6,1,1,1,1,6,1,1,6,1,6,1,0,6,1,1,6,6,6,6,6,6,6,1,1,6,6,1,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,1,6,6,1,6,6,6,6,6,1,6,1,1,6,6,1,6,6,1,1,1,1,1,
PA,6,1,1,6,1,6,6,1,1,1,1,6,6,6,0,6,1,1,6,6,1,1,1,1,6,1,6,1,6,6,1,1,1,1,1,6,1,1,1,6,1,1,1,6,1,0,1,1,1,1,1,6,1,6,1,1,1,1,6,1,6,1,1,0,6,1,1,6,6,1,6,1,1,1,6,1,6,6,0,1,6,6,6,0,6,6,6,1,6,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,6,1,1,0,1,6,1,6,6,6,1,1,6,6,1,6,1,1,1,6,6,6,6,6,1,6,1,6,1,1,1,6,1,1,6,1,6,1,1,1,6,6,1,6,1,0,1,1,6,0,1,6,6,1,1,6,1,1,6,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,6,1,1,1,1,6,6,1,1,6,1,6,1,6,1,1,1,1,1,0,1,1,6,1,6,1,1,1,1,6,6,6,1,6,6,1,6,1,1,1,1,6,1,6,1,6,6,1,6,6,1,6,1,1,1,6,1,1,1,1,6,6,6,1,6,1,1,6,6,6,6,1,6,1,6,1,1,6,1,6,6,6,6,6,6,1,6,1,1,6,0,0,6,6,6,6,1,6,1,1,1,1,1,6,6,1,0,6,1,6,6,6,1,1,6,6,6,6,0,6,0,0,1,1,6,1,6,1,1,1,1,0,0,0,1,1,6,0,6,1,6,6,1,6,1,1,1,6,1,1,1,1,6,6,6,1,1,6,6,1,1,6,6,1,6,6,1,6,1,1,1,1,1,0,0,0,1,1,6,1,1,1,1,6,1,1,1,6,6,6,6,1,1,6,6,1,1,1,1,6,6,6,6,1,6,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,6,1,1,1,6,1,1,1,6,1,6,1,1,6,1,6,1,1,6,1,1,1,1,6,6,1,1,1,1,6,1,6,1,1,0,1,1,6,1,1,1,1,1,6,6,1,6,6,1,6,6,6,1,1,6,6,1,1,1,6,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1,1,6,6,6,6,6,6,6,1,1,6,1,1,1,6,6,6,1,1,1,1,1,6,6,6,1,6,6,1,1,1,6,6,1,6,1,6,1,0,1,6,6,6,0,6,1,6,6,1,6,1,1,6,6,6,1,1,1,0,6,6,1,0,6,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,
DE,1,1,0,1,0,0,6,1,1,6,6,1,6,1,1,6,6,6,6,6,1,1,6,1,6,1,6,1,6,6,6,1,1,0,1,0,6,6,6,1,6,6,6,1,6,0,1,1,1,1,1,6,1,6,1,6,6,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,6,6,6,1,1,1,0,6,6,6,1,1,6,6,1,1,6,1,1,1,1,1,1,6,1,6,1,1,1,1,6,1,1,6,6,0,1,1,6,1,6,6,6,1,1,1,1,1,1,1,1,6,6,1,6,1,1,6,1,1,1,6,6,6,1,1,6,1,6,0,6,1,6,0,6,1,6,6,0,1,1,1,6,1,6,6,6,6,1,1,6,1,6,1,1,6,1,1,1,1,1,1,6,6,1,1,6,1,1,1,1,6,6,6,6,1,6,6,6,6,1,1,1,1,1,6,1,6,1,6,1,6,6,1,1,1,1,6,1,1,6,1,1,0,1,6,6,6,1,1,1,6,6,1,6,6,1,6,1,0,1,1,1,6,1,1,6,1,1,1,6,1,1,6,6,6,6,1,1,6,6,1,0,0,1,6,6,6,6,1,6,0,0,1,1,1,1,1,6,1,6,6,1,6,1,6,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,1,1,1,1,0,1,1,1,1,1,6,0,1,1,1,6,6,0,1,1,6,6,1,1,1,6,6,6,1,1,1,6,6,1,1,6,6,6,6,1,1,6,6,1,1,1,6,1,6,6,1,6,6,1,1,1,6,1,6,1,1,1,1,1,1,1,1,6,6,1,1,6,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,6,6,1,1,6,6,1,1,6,1,6,6,1,1,0,1,1,6,6,6,1,1,1,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,6,1,1,6,6,6,6,6,6,6,1,6,6,1,1,1,6,1,1,1,6,1,6,6,1,1,6,6,1,1,6,6,1,6,6,1,1,1,6,1,6,1,6,1,6,1,6,6,6,6,6,1,1,1,1,6,1,6,1,1,1,1,1,6,1,1,6,1,6,6,1,6,1,6,6,1,1,6,6,6,1,1,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,1,1,1,6,1,6,1,6,6,6,0,1,6,6,1,6,6,1,0,1,1,1,6,6,1,1,1,1,1,
MD,0,0,0,0,0,0,0,0,0,1,1,6,6,6,1,6,6,6,6,6,6,1,1,1,1,1,6,1,6,6,6,1,1,6,1,6,0,1,1,1,6,6,6,1,6,0,1,6,1,1,1,0,1,1,0,6,1,1,6,1,6,1,1,1,0,1,0,0,1,0,0,0,6,6,6,1,1,1,6,1,1,6,1,1,6,1,1,6,0,0,0,0,1,6,1,1,1,6,1,1,1,1,6,1,0,0,1,0,1,1,1,1,6,6,0,1,1,1,1,1,1,1,1,6,6,6,6,6,1,6,1,6,6,6,6,6,6,1,6,1,6,1,6,1,6,6,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,6,6,1,1,1,1,6,1,1,1,6,1,1,1,1,6,6,1,6,1,6,6,6,6,1,1,1,1,1,1,1,6,1,6,1,1,6,1,6,6,1,6,1,6,1,1,6,1,1,1,1,6,1,6,1,1,6,6,1,1,1,6,1,1,1,1,1,6,6,1,6,6,0,1,6,1,1,1,6,6,0,1,6,1,6,1,0,1,1,6,6,6,6,6,6,6,6,1,1,6,1,1,1,1,6,6,1,6,1,6,1,6,1,6,1,1,1,6,1,6,6,6,1,1,6,6,1,1,1,6,0,1,1,6,1,6,1,6,1,6,1,6,6,6,6,1,6,6,6,0,1,1,1,6,1,1,6,1,1,1,1,1,6,1,0,6,6,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,6,6,6,1,6,6,1,1,6,1,0,6,1,1,1,6,1,1,0,1,6,6,1,1,1,6,6,6,0,1,1,6,6,1,6,1,0,1,1,1,6,6,6,6,6,6,1,1,1,1,6,6,1,6,6,1,1,6,1,6,6,6,0,1,6,0,1,6,1,1,1,1,1,1,6,6,6,1,6,6,0,1,1,6,1,1,6,1,6,6,6,6,1,1,6,6,6,6,6,6,1,1,6,6,1,1,1,6,1,1,1,6,1,1,1,1,1,1,6,1,1,6,1,6,6,1,1,1,1,1,1,1,1,6,6,6,6,1,6,6,1,6,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,6,1,1,1,6,1,1,1,6,6,1,1,1,6,1,1,1,6,6,6,6,6,1,1,1,1,1,1,1,1,6,1,1,6,0,1,1,6,6,6,6,6,6,6,1,6,1,1,6,1,1,1,1,6,
VA,6,1,1,1,1,6,1,1,1,6,6,1,6,6,1,6,1,6,6,6,1,1,1,6,1,1,6,1,6,1,6,1,1,1,1,6,1,1,1,6,1,1,1,6,1,1,1,1,1,1,1,6,1,6,1,6,1,1,6,1,1,1,1,1,6,1,1,6,6,1,6,1,1,6,6,1,6,1,6,1,1,6,1,6,1,1,6,6,6,1,1,1,1,1,1,6,1,6,1,1,1,1,1,1,6,1,1,6,1,6,1,1,6,6,1,1,1,6,6,6,6,1,1,6,6,6,1,1,1,6,1,6,6,1,6,1,1,1,1,1,6,6,6,1,6,6,1,6,6,1,1,1,6,6,1,6,1,1,1,6,6,1,1,1,6,6,1,6,1,6,1,6,1,6,6,1,6,1,1,1,1,1,6,6,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,1,6,6,6,1,6,1,1,6,1,6,1,6,6,1,6,1,1,6,1,6,1,1,1,1,0,1,1,6,1,6,1,1,1,1,1,6,1,1,6,6,6,1,6,1,1,1,6,6,6,1,6,1,6,1,6,6,1,1,6,6,6,1,6,6,6,1,1,6,1,1,1,1,1,6,1,1,1,1,6,1,1,6,1,1,1,1,6,1,6,6,1,1,1,1,1,6,1,6,0,1,1,1,1,1,1,1,6,1,6,1,1,6,1,1,6,1,1,1,6,6,1,1,6,6,6,1,1,1,1,1,6,1,6,6,6,1,1,1,6,1,1,1,6,6,1,6,6,1,1,1,6,1,6,1,6,1,6,1,1,1,1,6,1,1,1,6,6,6,1,1,1,6,6,1,1,1,1,6,1,1,1,6,1,1,1,1,6,1,6,1,6,6,6,6,1,1,1,1,1,1,6,1,6,6,1,1,6,1,6,1,6,1,6,6,1,1,6,1,6,1,6,6,6,6,1,1,6,6,1,1,1,1,1,6,1,1,6,1,1,1,1,6,1,1,6,6,1,1,1,6,1,6,1,6,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,6,1,1,1,1,6,6,6,1,6,6,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,6,1,6,6,1,1,1,1,6,1,6,1,1,6,6,1,1,6,6,1,1,6,6,6,6,6,1,1,1,6,1,1,1,1,1,6,1,6,1,6,1,1,6,1,1,6,6,6,6,6,6,6,6,6,6,1,6,1,1,1,1,1,
NC,6,1,1,1,1,6,6,1,6,6,6,1,6,6,1,1,1,1,6,6,1,1,1,1,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,1,1,1,6,1,1,6,1,1,1,1,1,1,6,1,0,1,1,6,1,6,1,1,1,6,1,1,6,6,1,6,1,1,6,1,1,1,1,1,6,1,6,1,6,6,1,1,6,1,1,6,1,1,6,1,6,1,6,6,1,1,1,6,1,6,1,1,6,1,6,1,1,6,6,1,6,6,1,1,1,6,1,1,6,1,1,1,6,1,6,6,6,6,1,6,1,1,1,1,1,6,6,6,1,6,6,1,6,1,1,1,1,1,6,6,1,6,1,1,6,1,1,1,1,6,6,1,6,6,1,1,1,1,0,6,6,6,1,1,1,6,6,1,1,0,1,1,6,6,6,1,6,1,1,1,1,6,6,1,6,1,6,6,1,6,1,1,1,1,6,1,6,6,1,1,6,6,6,6,1,1,1,1,1,1,1,1,0,1,1,1,6,6,6,1,1,6,1,6,6,6,6,6,1,1,6,6,6,1,1,1,1,6,6,6,1,6,1,6,6,6,0,6,6,6,1,1,6,1,1,6,1,6,6,1,1,1,6,1,1,6,6,6,6,6,1,6,1,1,6,6,1,6,1,6,6,1,1,0,6,1,1,6,1,1,1,6,1,6,0,6,0,1,1,6,1,1,1,6,6,0,6,6,6,6,1,1,0,1,1,0,1,6,6,6,1,1,1,6,0,1,1,6,6,1,6,1,1,6,6,0,0,1,6,6,1,6,1,6,6,6,0,0,0,1,6,1,1,6,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,6,1,6,6,1,0,1,6,1,1,6,1,6,6,1,6,6,0,0,6,6,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,0,1,1,1,6,1,1,1,1,6,1,1,6,6,6,1,6,1,6,1,6,1,1,6,1,1,1,6,1,1,6,0,6,1,1,1,1,6,1,6,1,1,6,1,6,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,6,1,1,1,1,6,1,1,6,1,1,1,1,6,1,6,6,1,1,1,1,6,6,1,1,1,6,1,1,1,1,6,1,6,6,6,1,1,6,1,1,1,1,1,6,6,6,1,1,1,6,6,6,6,6,6,6,1,0,0,0,0,0,0,1,1,1,
