1,1859,14,98,PENNSYL,5000,CLYMER,0.61,-0.792,0.134,0.102,0.698,-14.81194,96,5,0.857
1,3196,14,98,PENNSYL,5000,FITZSIMONS,0.533,-0.221,0.07,0.092,-0.345,-27.87812,107,5,0.771
1,8702,48,1,SOUTH C,5000,SMITH  W.L.,0.634,0.28,0.134,0.111,0.064,-74.02488,104,38,0.491
1,1260,48,2,SOUTH C,4000,BURKE,0.19,0.606,0.176,0.139,-0.435,-49.28461,101,21,0.614
1,4695,48,3,SOUTH C,5000,HUGER,0.631,0.776,0.183,0.091,-0.34,-12.68556,32,7,0.673
1,9088,48,4,SOUTH C,4000,SUMTER,-0.708,0.458,0.174,0.309,0.169,-22.67357,92,9,0.782
1,9501,48,5,SOUTH C,4000,TUCKER,0.268,0.561,0.162,0.112,-0.191,-51.09011,104,29,0.612
1,10006,40,1,VIRGINI,5000,WHITE,0.183,0.068,0.128,0.087,0.093,-32.09828,91,14,0.703
1,1118,40,2,VIRGINI,4000,BROWN,-0.111,-0.489,0.133,0.163,0.521,-18.17123,98,8,0.831
1,6625,40,3,VIRGINI,4000,MOORE,-0.103,-0.356,0.132,0.19,0.404,-21.78536,102,8,0.808
1,5564,40,4,VIRGINI,5000,LEE,0.295,-0.05,0.11,0.076,-0.035,-41.86808,101,23,0.661
1,5903,40,5,VIRGINI,4000,MADISON,0.023,-0.425,0.131,0.112,0.236,-27.5343,102,10,0.763
1,1936,40,6,VIRGINI,4000,COLES,-0.289,0.23,0.119,0.193,0.147,-14.53958,83,7,0.839
1,7156,40,7,VIRGINI,4000,PAGE,0.056,0.08,0.138,0.104,0.162,-22.48146,82,11,0.76
1,7199,40,8,VIRGINI,4000,PARKER,0.065,0.128,0.035,0.092,0.094,-31.50855,98,12,0.725
1,786,40,9,VIRGINI,4000,BLAND,-0.462,0.887,0.116,0.501,0.153,-9.08833,28,5,0.723
1,3825,40,10,VIRGINI,5000,GRIFFIN,0.232,-0.089,0.101,0.079,0.019,-35.01834,95,19,0.692
2,4433,1,98,CONNECT,5000,HILLHOUSE,0.622,-0.065,0.069,0.139,-0.04,-36.84039,89,18,0.661
2,5543,1,98,CONNECT,5000,LEARNED,0.836,0.305,0.153,0.14,-0.361,-14.97775,90,3,0.847
2,9062,1,98,CONNECT,5000,STURGES,0.637,0.327,0.115,0.101,0.113,-68.06673,98,33,0.499
2,9706,1,98,CONNECT,5000,WADSWORTH,0.749,0.134,0.089,0.1,-0.238,-15.98754,77,6,0.813
2,9676,11,1,DELAWAR,5000,VINING,0.425,-0.354,0.089,0.155,-0.076,-23.08357,39,13,0.553
2,9885,44,1,GEORGIA,4000,WAYNE,0.238,0.971,0.34,0.51,0.294,-7.94313,29,3,0.76
